ACT,New SAT (starting March 2016),Old SAT (before March 2016)
36,1600,2380-2400
35,1540-1590,2290-2370
34,1490-1530,2220-2280
33,1440-1480,2140-2210
32,1400-1430,2080-2130
31,1360-1390,2020-2070
30,1330-1350,1980-2010
29,1290-1320,1920-1970
28,1250-1280,1860-1910
27,1210-1240,1800-1850
26,1170-1200,1740-1790
25,1130-1160,1680-1730
24,1090-1120,1620-1670
23,1050-1080,1560-1610
22,1020-1040,1510-1550
21,980-1010,1450-1500
20,940-970,1390-1440
19,900-930,1330-1380
18,860-890,1270-1320
17,820-850,1210-1260
16,770-810,1140-1200
15,720-760,1060-1130
14,670-710,990-1050
13,620-660,910-980
12,560-610,820-900
11,510-550,750-810
